dataset,model,imputer,mechanism,fold,rate,train_actual_rate,test_actual_rate,accuracy,roc_auc,brier,ece,accuracy_change_vs_clean,roc_auc_change_vs_clean,brier_change_vs_clean,ece_change_vs_clean
statlog_heart,logistic_regression,iterative,mcar,0,0.1,0.09650997150997151,0.09401709401709402,0.8148148148148148,0.9083333333333332,0.12389889376359446,0.0817926665359585,-0.05555555555555558,-0.029166666666666785,0.022113416427122945,-0.021498043879963222
statlog_heart,logistic_regression,iterative,mcar,0,0.2,0.2037037037037037,0.1866096866096866,0.8518518518518519,0.8958333333333334,0.12471828320741461,0.0991391144399633,-0.01851851851851849,-0.04166666666666663,0.022932805870943096,-0.004151595975958419
statlog_heart,logistic_regression,iterative,mcar,0,0.3,0.3005698005698006,0.2948717948717949,0.7962962962962963,0.8569444444444445,0.1544640228497024,0.1291538482514549,-0.07407407407407407,-0.08055555555555549,0.05267854551323088,0.02586313783553318
statlog_heart,logistic_regression,iterative,mcar,0,0.5,0.5028490028490028,0.5156695156695157,0.7777777777777778,0.7791666666666667,0.18621904993899896,0.19848833482867675,-0.09259259259259256,-0.15833333333333333,0.08443357260252744,0.09519762441275503
statlog_heart,logistic_regression,iterative,mar,0,0.1,0.09104938271604938,0.10493827160493827,0.8333333333333334,0.9263888888888889,0.11194108370807553,0.07515346104986531,-0.03703703703703698,-0.011111111111111072,0.010155606371604009,-0.02813724936605641
statlog_heart,logistic_regression,iterative,mar,0,0.2,0.19135802469135801,0.21604938271604937,0.8333333333333334,0.9125,0.11935235629207835,0.09544628068961328,-0.03703703703703698,-0.025000000000000022,0.017566878955606838,-0.007844429726308444
statlog_heart,logistic_regression,iterative,mar,0,0.3,0.30092592592592593,0.3148148148148148,0.8518518518518519,0.8902777777777777,0.13267997678366547,0.12602312063496576,-0.01851851851851849,-0.047222222222222276,0.030894499447193954,0.02273241021904404
statlog_heart,logistic_regression,iterative,mar,0,0.5,0.5015432098765432,0.5246913580246914,0.8333333333333334,0.9027777777777778,0.12320688164483312,0.09779352094674448,-0.03703703703703698,-0.03472222222222221,0.021421404308361605,-0.005497189469177238
statlog_heart,logistic_regression,iterative,mnar,0,0.1,0.10185185185185185,0.1111111111111111,0.8703703703703703,0.9194444444444444,0.11078267580388669,0.07290505367746512,0.0,-0.018055555555555602,0.008997198467415174,-0.0303856567384566
statlog_heart,logistic_regression,iterative,mnar,0,0.2,0.19290123456790123,0.2222222222222222,0.8518518518518519,0.9208333333333333,0.1129326751583215,0.09385034170891202,-0.01851851851851849,-0.01666666666666672,0.011147197821849988,-0.009440368707009705
statlog_heart,logistic_regression,iterative,mnar,0,0.3,0.3117283950617284,0.3333333333333333,0.8703703703703703,0.9236111111111112,0.11169948891225025,0.106153833731108,0.0,-0.01388888888888884,0.00991401157577873,0.002863123315186275
statlog_heart,logistic_regression,iterative,mnar,0,0.5,0.5061728395061729,0.5,0.8333333333333334,0.9180555555555555,0.1166621515654886,0.08766715857085604,-0.03703703703703698,-0.019444444444444486,0.01487667422901709,-0.015623551845065684
statlog_heart,logistic_regression,iterative,mcar,1,0.1,0.10790598290598291,0.10398860398860399,0.9074074074074074,0.9152777777777779,0.0947101798057117,0.09112272622969739,0.0185185185185186,-0.016666666666666607,-0.00019691787664551097,0.015513865731803272
statlog_heart,logistic_regression,iterative,mcar,1,0.2,0.20477207977207978,0.18803418803418803,0.8888888888888888,0.9097222222222222,0.10462301488497622,0.13746686710255074,0.0,-0.022222222222222254,0.00971591720261901,0.061858006604656623
statlog_heart,logistic_regression,iterative,mcar,1,0.3,0.29736467236467234,0.2934472934472934,0.8518518518518519,0.8944444444444444,0.12486352440811335,0.11482868209944558,-0.03703703703703698,-0.03750000000000009,0.029956426725756144,0.03921982160155146
statlog_heart,logistic_regression,iterative,mcar,1,0.5,0.5064102564102564,0.5,0.8148148148148148,0.8958333333333333,0.12571077602775324,0.1282841148831676,-0.07407407407407407,-0.036111111111111205,0.030803678345396032,0.052675254385273484
statlog_heart,logistic_regression,iterative,mar,1,0.1,0.10802469135802469,0.11728395061728394,0.9074074074074074,0.9347222222222222,0.09225570237457242,0.09805450969372008,0.0185185185185186,0.002777777777777768,-0.0026513953077847846,0.022445649195825965
statlog_heart,logistic_regression,iterative,mar,1,0.2,0.2052469135802469,0.2222222222222222,0.8888888888888888,0.9263888888888889,0.09859903875181786,0.09473736278509107,0.0,-0.005555555555555536,0.0036919410694606497,0.019128502287196952
statlog_heart,logistic_regression,iterative,mar,1,0.3,0.3117283950617284,0.30864197530864196,0.8703703703703703,0.9208333333333334,0.10039229961322517,0.10921649782453248,-0.01851851851851849,-0.011111111111111072,0.005485201930867961,0.033607637326638365
statlog_heart,logistic_regression,iterative,mar,1,0.5,0.5046296296296297,0.5,0.8703703703703703,0.925,0.10382431085730776,0.05740095493277742,-0.01851851851851849,-0.00694444444444442,0.008917213174950547,-0.018207905565116693
statlog_heart,logistic_regression,iterative,mnar,1,0.1,0.10339506172839506,0.1111111111111111,0.9074074074074074,0.9375,0.08950026320336353,0.09926424876879972,0.0185185185185186,0.005555555555555536,-0.005406834478993677,0.023655388270905603
statlog_heart,logistic_regression,iterative,mnar,1,0.2,0.20987654320987653,0.2037037037037037,0.8888888888888888,0.9375,0.08679452510032783,0.10185280696647478,0.0,0.005555555555555536,-0.008112572582029381,0.026243946468580664
statlog_heart,logistic_regression,iterative,mnar,1,0.3,0.31790123456790126,0.2962962962962963,0.8888888888888888,0.9333333333333333,0.08971059098947126,0.09557144209349766,0.0,0.001388888888888884,-0.005196506692885947,0.019962581595603546
statlog_heart,logistic_regression,iterative,mnar,1,0.5,0.5015432098765432,0.48148148148148145,0.8703703703703703,0.9319444444444445,0.10131896809393541,0.12983398922532996,-0.01851851851851849,0.0,0.006411870411578202,0.054225128727435845
statlog_heart,logistic_regression,iterative,mcar,2,0.1,0.10505698005698005,0.10826210826210826,0.7592592592592593,0.8402777777777778,0.17373120017917928,0.1280160981241079,-0.01851851851851849,0.01388888888888884,0.0012643083764110608,-0.004833632491280326
statlog_heart,logistic_regression,iterative,mcar,2,0.2,0.20975783475783477,0.21225071225071226,0.7222222222222222,0.8666666666666667,0.16390901320054094,0.1675004444897277,-0.05555555555555558,0.040277777777777746,-0.008557878602227287,0.03465071387433946
statlog_heart,logistic_regression,iterative,mcar,2,0.3,0.3091168091168091,0.3076923076923077,0.6481481481481481,0.7958333333333334,0.2116434131683744,0.22866721777984333,-0.12962962962962965,-0.030555555555555558,0.039176521365606176,0.0958174871644551
statlog_heart,logistic_regression,iterative,mcar,2,0.5,0.4960826210826211,0.49002849002849,0.6296296296296297,0.6902777777777778,0.23599980738714363,0.16738377035461333,-0.14814814814814814,-0.13611111111111118,0.0635329155843754,0.034534039739225086
statlog_heart,logistic_regression,iterative,mar,2,0.1,0.09259259259259259,0.1419753086419753,0.8148148148148148,0.8416666666666667,0.1629038669188085,0.1638618092435271,0.03703703703703698,0.015277777777777724,-0.009563024883959714,0.031012078628138873
statlog_heart,logistic_regression,iterative,mar,2,0.2,0.1882716049382716,0.2222222222222222,0.8148148148148148,0.8416666666666667,0.16081620002678243,0.1347309633359369,0.03703703703703698,0.015277777777777724,-0.011650691775985794,0.001881232720548659
statlog_heart,logistic_regression,iterative,mar,2,0.3,0.3148148148148148,0.3148148148148148,0.7962962962962963,0.851388888888889,0.1574894205708773,0.12859671518850607,0.01851851851851849,0.025000000000000022,-0.014977471231890915,-0.004253015426882167
statlog_heart,logistic_regression,iterative,mar,2,0.5,0.5185185185185185,0.5061728395061729,0.7592592592592593,0.8208333333333333,0.18106810172861632,0.14744971084786648,-0.01851851851851849,-0.005555555555555647,0.008601209925848091,0.014599980232478244
statlog_heart,logistic_regression,iterative,mnar,2,0.1,0.1111111111111111,0.09876543209876543,0.7962962962962963,0.8402777777777778,0.1644009090628081,0.12689725227672463,0.01851851851851849,0.01388888888888884,-0.00806598273996012,-0.005952478338663608
statlog_heart,logistic_regression,iterative,mnar,2,0.2,0.2191358024691358,0.22839506172839505,0.8333333333333334,0.8666666666666667,0.14397015654549059,0.14544117700282788,0.05555555555555558,0.040277777777777746,-0.02849673525727764,0.012591446387439642
statlog_heart,logistic_regression,iterative,mnar,2,0.3,0.3271604938271605,0.32098765432098764,0.8333333333333334,0.8597222222222223,0.14824326531045268,0.15692843204781892,0.05555555555555558,0.033333333333333326,-0.024223626492315548,0.024078701432430683
statlog_heart,logistic_regression,iterative,mnar,2,0.5,0.5185185185185185,0.5,0.8333333333333334,0.8777777777777778,0.14369300606395236,0.14308497246800916,0.05555555555555558,0.05138888888888882,-0.02877388573881587,0.010235241852620924
statlog_heart,logistic_regression,iterative,mcar,3,0.1,0.11182336182336182,0.09116809116809117,0.7592592592592593,0.8597222222222223,0.1669794374110226,0.10776703445610222,-0.01851851851851849,-0.005555555555555536,-0.00011913798541862697,-0.057934332206261846
statlog_heart,logistic_regression,iterative,mcar,3,0.2,0.21616809116809116,0.1794871794871795,0.6851851851851852,0.8083333333333332,0.18482911609087385,0.18533720173205487,-0.09259259259259256,-0.056944444444444575,0.01773054069443261,0.0196358350696908
statlog_heart,logistic_regression,iterative,mcar,3,0.3,0.31695156695156695,0.2849002849002849,0.7407407407407407,0.7291666666666666,0.22022058086224813,0.2074750883446494,-0.03703703703703709,-0.13611111111111118,0.05312200546580689,0.041773721682285325
statlog_heart,logistic_regression,iterative,mcar,3,0.5,0.50997150997151,0.4886039886039886,0.7592592592592593,0.7333333333333334,0.20528312524620013,0.1948890334241133,-0.01851851851851849,-0.13194444444444442,0.038184549849758886,0.02918766676174922
statlog_heart,logistic_regression,iterative,mar,3,0.1,0.08641975308641975,0.09259259259259259,0.7962962962962963,0.8638888888888889,0.16713270028002689,0.16297962766123228,0.01851851851851849,-0.001388888888888884,3.412488358564558e-05,-0.00272173900113179
statlog_heart,logistic_regression,iterative,mar,3,0.2,0.18209876543209877,0.17901234567901234,0.7777777777777778,0.8666666666666667,0.1656659107617122,0.1405737064181351,0.0,0.001388888888888884,-0.0014326646347290473,-0.025127660244228966
statlog_heart,logistic_regression,iterative,mar,3,0.3,0.279320987654321,0.30246913580246915,0.7777777777777778,0.8527777777777777,0.16804286920374065,0.1684793604305903,0.0,-0.012500000000000067,0.0009442938072994067,0.002777993768226239
statlog_heart,logistic_regression,iterative,mar,3,0.5,0.49537037037037035,0.5061728395061729,0.7407407407407407,0.8666666666666667,0.17168556897652718,0.17175068981654187,-0.03703703703703709,0.001388888888888884,0.004586993580085935,0.006049323154177805
statlog_heart,logistic_regression,iterative,mnar,3,0.1,0.10493827160493827,0.11728395061728394,0.7777777777777778,0.8611111111111112,0.17727478351260492,0.16195646447548454,0.0,-0.004166666666666652,0.010176208116163682,-0.003744902186879534
statlog_heart,logistic_regression,iterative,mnar,3,0.2,0.20987654320987653,0.25308641975308643,0.7777777777777778,0.8722222222222222,0.17594338284042876,0.15940852204528444,0.0,0.00694444444444442,0.008844807443987523,-0.006292844617079629
statlog_heart,logistic_regression,iterative,mnar,3,0.3,0.30092592592592593,0.3333333333333333,0.7777777777777778,0.8638888888888889,0.17489386756454983,0.15737738898416959,0.0,-0.001388888888888884,0.007795292168108592,-0.008323977678194483
statlog_heart,logistic_regression,iterative,mnar,3,0.5,0.5077160493827161,0.4691358024691358,0.7592592592592593,0.8666666666666667,0.179915045443064,0.14446660679962028,-0.01851851851851849,0.001388888888888884,0.012816470046622758,-0.021234759862743785
statlog_heart,logistic_regression,iterative,mcar,4,0.1,0.10398860398860399,0.1111111111111111,0.8888888888888888,0.9166666666666666,0.11592092577670533,0.10841910433377465,0.01851851851851849,-0.005555555555555647,0.012191488468717343,-0.006225321426766725
statlog_heart,logistic_regression,iterative,mcar,4,0.2,0.20975783475783477,0.21937321937321938,0.8518518518518519,0.9,0.121532634592952,0.0993659984392298,-0.01851851851851849,-0.022222222222222254,0.017803197284964004,-0.015278427321311572
statlog_heart,logistic_regression,iterative,mcar,4,0.3,0.31374643874643876,0.3247863247863248,0.8518518518518519,0.913888888888889,0.12475764961666302,0.0959741815424634,-0.01851851851851849,-0.008333333333333304,0.021028212308675034,-0.018670244218077975
statlog_heart,logistic_regression,iterative,mcar,4,0.5,0.5060541310541311,0.5085470085470085,0.7037037037037037,0.8180555555555555,0.1730181887416107,0.17820417655730353,-0.16666666666666663,-0.10416666666666674,0.06928875143362272,0.06355975079676215
statlog_heart,logistic_regression,iterative,mar,4,0.1,0.10339506172839506,0.09876543209876543,0.8518518518518519,0.9291666666666667,0.10476933209233698,0.1143561069634919,-0.01851851851851849,0.00694444444444442,0.001039894784348988,-0.0002883187970494777
statlog_heart,logistic_regression,iterative,mar,4,0.2,0.2175925925925926,0.17901234567901234,0.8518518518518519,0.9333333333333333,0.1054900718859383,0.14287321872514258,-0.01851851851851849,0.011111111111111072,0.0017606345779503096,0.028228792964601207
statlog_heart,logistic_regression,iterative,mar,4,0.3,0.31635802469135804,0.29012345679012347,0.8518518518518519,0.9347222222222222,0.10378862180573124,0.1342044178401003,-0.01851851851851849,0.012499999999999956,5.9184497743253184e-05,0.019559992079558913
statlog_heart,logistic_regression,iterative,mar,4,0.5,0.5015432098765432,0.5,0.8518518518518519,0.9194444444444445,0.11062351941392093,0.12557853536948027,-0.01851851851851849,-0.002777777777777768,0.006894082105932939,0.010934109608938897
statlog_heart,logistic_regression,iterative,mnar,4,0.1,0.11265432098765432,0.08024691358024691,0.8703703703703703,0.9333333333333333,0.10221849742150388,0.12040637137357202,0.0,0.011111111111111072,-0.0015109398864841111,0.0057619456130306446
statlog_heart,logistic_regression,iterative,mnar,4,0.2,0.20833333333333334,0.17901234567901234,0.8703703703703703,0.9361111111111111,0.10387439474165205,0.09726397893110952,0.0,0.01388888888888884,0.0001449574336640641,-0.01738044682943185
statlog_heart,logistic_regression,iterative,mnar,4,0.3,0.3055555555555556,0.2654320987654321,0.8518518518518519,0.9125,0.10755158283723318,0.13215589018941126,-0.01851851851851849,-0.009722222222222299,0.0038221455292451884,0.01751146442886989
statlog_heart,logistic_regression,iterative,mnar,4,0.5,0.49074074074074076,0.5308641975308642,0.8703703703703703,0.913888888888889,0.1139807752396068,0.13603435356177201,0.0,-0.008333333333333304,0.010251337931618809,0.02138992780123064
